服务器id,服务器名称,状态,公网IP,内网IP,类型,操作系统,CPU,内存,数据盘,创建时间,过期时间,镜像id
ins-nh9d2u6d,牙木一家|小米平台,运行中,115.159.103.122,10.237.212.11,自定义型,centos6.5 64位,4核,16GB,200G(本地盘),2015-10-12 17:18:55,2015-11-12 17:19:02,img-7fwdvfur,
ins-d2vqfvet,牙木一家|应用宝平台,运行中,115.159.39.170,10.105.4.235,自定义型,centos6.5 64位,4核,16GB,200G(本地盘),2015-10-12 17:18:46,2015-11-12 17:18:49,img-7fwdvfur,
ins-cbr3o3u7,怪糖平台|杀城,运行中,182.254.211.17,10.131.184.93,自定义型,centos6.5 64位,4核,8GB,200G(本地盘),2015-06-10 19:24:14,2015-11-10 19:24:19,img-7fwdvfur,
ins-2jvcegr3,斗地主|展示服务器,运行中,115.159.87.248,10.105.20.250,自定义型,centos6.5 64位,1核,4GB,50G(本地盘),2015-06-10 16:38:57,2015-11-10 16:39:00,img-7fwdvfur,
ins-cyn5np9h,运维团队|管理主机,运行中,182.254.219.105,10.237.158.101,自定义型,centos6.5 64位,2核,4GB,300G(本地盘),2015-06-04 15:42:35,2015-12-04 15:42:39,img-7fwdvfur,
ins-c2e7o30p,牙木一家|AppStore服,运行中,182.254.139.66,10.131.134.59,自定义型,centos6.5 64位,4核,16GB,200G(本地盘),2015-05-21 17:05:02,2015-11-21 17:05:13,img-7fwdvfur,
ins-88hs4e5d,苏州团队技术开发,运行中,182.254.135.32,10.131.165.68,自定义型,centos6.5 64位,2核,4GB,50G(云硬盘),2015-05-15 15:07:09,2015-11-26 10:53:05,img-7fwdvfur,
ins-mamcpvcf,牙木一家|数据库主服,运行中,182.254.135.49,10.131.171.141,自定义型,centos6.5 64位,4核,16GB,200G(本地盘),2015-05-06 11:24:25,2015-12-06 11:24:30,img-7fwdvfur,
ins-dy9mzkud,牙木一家|安卓平台服,运行中,182.254.131.65,10.131.174.155,自定义型,centos6.5 64位,4核,16GB,200G(本地盘),2015-05-06 11:24:15,2015-12-06 11:24:20,img-7fwdvfur,
ins-p3psip6v,斗地主|测试服,运行中,182.254.134.22,10.143.41.116,自定义型,centos6.5 64位,4核,16GB,200G(本地盘),2015-05-05 18:34:00,2015-12-05 18:34:06,img-7fwdvfur,
ins-floaqmiv,superStar|测试服,运行中,115.159.99.65,10.105.45.42,自定义型,centos6.5 64位,1核,2GB,100G(本地盘),2015-04-17 18:02:28,2015-11-17 18:02:33,img-7fwdvfur,
ins-l36pjdhn,怪糖平台|斗地主入口,运行中,115.159.95.27,10.105.60.94,自定义型,centos6.5 64位,2核,4GB,100G(本地盘),2015-04-08 11:27:17,2015-12-08 11:27:18,img-7fwdvfur,
ins-2bwwgzzf,牙木一家|登陆服,运行中,115.159.35.128,10.105.18.164,自定义型,centos6.5 64位,4核,8GB,200G(本地盘),2015-02-02 13:03:07,2015-12-02 13:03:09,img-7fwdvfur,
ins-3ylxjrpj,斗地主|游戏数据库,运行中,115.159.75.240,10.105.38.66,自定义型,centos6.5 64位,4核,16GB,200G(本地盘),2015-01-30 13:10:57,2015-11-30 13:10:59,img-7fwdvfur,
ins-bv8vaahz,任性英雄|A1黑暗圣殿,运行中,182.254.155.105,10.105.38.64,自定义型,CentOS 7.0 64位,4核,8GB,200G(本地盘),2015-01-30 13:10:45,2015-10-31 13:10:47,img-b1ve77s9,
ins-8hcyx2i1,斗地主|游戏后台,运行中,115.159.54.55,10.105.38.65,自定义型,centos6.5 64位,4核,16GB,200G(本地盘),2015-01-30 13:09:53,2015-11-30 13:09:55,img-7fwdvfur,
ins-nofukg25,牙木一家|测试机|不再续费,运行中,115.159.43.224,10.105.10.253,自定义型,CentOS6.3 64位,1核,2GB,100G(本地盘),2015-01-05 10:59:36,2015-11-05 10:59:38,img-4w43a15z,
ins-dhhwjmx1,牙木一家|数据库从服,运行中,115.159.27.235,10.105.11.61,自定义型,CentOS6.3 64位,2核,4GB,200G(本地盘),2015-01-05 10:59:26,2015-12-05 10:59:28,img-4w43a15z,
ins-0kjgcop7,牙木一家|新测试服,运行中,115.159.69.176,10.105.6.239,自定义型,centos6.5 64位,4核,8GB,100G(本地盘),2014-12-01 19:17:55,2015-12-01 19:17:56,img-7fwdvfur,
ins-9g4uxhsb,任性英雄|内部测试服,运行中,115.159.3.252,10.247.43.162,自定义型,CentOS6.2 64位,4核,8GB,200G(本地盘),2014-10-28 15:51:52,2015-10-28 15:51:56,img-50mr2ow7,
ins-ir2ctdbd,website|任性英雄.牙木一家,运行中,115.159.23.180,10.133.198.220,自定义型,CentOS6.2 64位,2核,4GB,200G(本地盘),2014-10-28 15:48:31,2016-07-04 08:28:41,img-50mr2ow7,
